id,emotion
MT0000004637,Sad
MT0000011357,Anger
MT0000011975,Anger
MT0000040632,Happy
MT0000044741,Sad
MT0000054705,Relaxed
MT0000082187,Happy
MT0000088320,Sad
MT0000092267,Relaxed
MT0000133200,Anger
MT0000202045,Relaxed
MT0000203193,Relaxed
MT0000203272,Sad
MT0000216849,Anger
MT0000218346,Relaxed
MT0000235880,Relaxed
MT0000249842,Happy
MT0000255724,Sad
MT0000299291,Sad
MT0000300896,Sad
MT0000315392,Sad
MT0000336135,Relaxed
MT0000348553,Relaxed
MT0000364027,Happy
MT0000369789,Relaxed
MT0000377411,Anger
MT0000379144,Sad
MT0000392975,Happy
MT0000414517,Happy
MT0000426771,Sad
MT0000441552,Anger
MT0000442827,Happy
MT0000446304,Sad
MT0000456939,Anger
MT0000460427,Relaxed
MT0000522789,Relaxed
MT0000523076,Sad
MT0000534539,Sad
MT0000540286,Happy
MT0000550961,Relaxed
MT0000636335,Relaxed
MT0000661250,Sad
MT0000661847,Relaxed
MT0000664362,Happy
MT0000698081,Relaxed
MT0000711493,Relaxed
MT0000729701,Anger
MT0000732821,Anger
MT0000742898,Sad
MT0000746822,Relaxed
MT0000762097,Relaxed
MT0000764951,Sad
MT0000796526,Sad
MT0000821772,Relaxed
MT0000888329,Relaxed
MT0000901959,Relaxed
MT0000922312,Relaxed
MT0000941301,Sad
MT0000949813,Sad
MT0000956340,Anger
MT0000971834,Anger
MT0000980148,Relaxed
MT0000992846,Happy
MT0001052263,Sad
MT0001053268,Happy
MT0001058887,Relaxed
MT0001109401,Relaxed
MT0001189913,Happy
MT0001193971,Sad
MT0001195535,Relaxed
MT0001217651,Happy
MT0001236649,Happy
MT0001284801,Sad
MT0001333258,Anger
MT0001335920,Happy
MT0001340713,Happy
MT0001376988,Anger
MT0001394087,Relaxed
MT0001418045,Happy
MT0001419145,Anger
MT0001438043,Relaxed
MT0001472536,Sad
MT0001494812,Relaxed
MT0001511433,Relaxed
MT0001515531,Sad
MT0001521543,Happy
MT0001523435,Sad
MT0001526386,Sad
MT0001533920,Sad
MT0001542676,Sad
MT0001583214,Anger
MT0001586807,Happy
MT0001594582,Relaxed
MT0001605268,Happy
MT0001613887,Anger
MT0001615005,Anger
MT0001624303,Relaxed
MT0001641228,Relaxed
MT0001661022,Relaxed
MT0001671399,Happy
MT0001673884,Sad
MT0001676671,Relaxed
MT0001680969,Happy
MT0001703346,Happy
MT0001753457,Happy
MT0001757676,Happy
MT0001766004,Anger
MT0001768550,Relaxed
MT0001810607,Sad
MT0001844620,Sad
MT0001870847,Relaxed
MT0001871732,Sad
MT0001877603,Relaxed
MT0001891229,Anger
MT0001898830,Happy
MT0001920501,Sad
MT0001927746,Anger
MT0001929641,Sad
MT0001934726,Sad
MT0001938929,Anger
MT0001942272,Relaxed
MT0001962373,Anger
MT0001967374,Sad
MT0001972380,Sad
MT0001975228,Anger
MT0001980613,Relaxed
MT0001982863,Sad
MT0001993588,Anger
MT0002006203,Sad
MT0002033629,Happy
MT0002050671,Anger
MT0002053300,Happy
MT0002057142,Sad
MT0002070112,Sad
MT0002086401,Sad
MT0002087541,Sad
MT0002119439,Happy
MT0002124238,Relaxed
MT0002126934,Sad
MT0002132088,Relaxed
MT0002142155,Sad
MT0002161109,Happy
MT0002222957,Happy
MT0002233402,Sad
MT0002262181,Happy
MT0002297016,Happy
MT0002351905,Happy
MT0002366291,Happy
MT0002372242,Anger
MT0002379222,Sad
MT0002385077,Anger
MT0002391847,Happy
MT0002399275,Anger
MT0002415184,Anger
MT0002448379,Relaxed
MT0002479795,Anger
MT0002485672,Sad
MT0002525905,Happy
MT0002532237,Happy
MT0002536460,Sad
MT0002538335,Happy
MT0002595792,Happy
MT0002602057,Anger
MT0002634024,Sad
MT0002674708,Relaxed
MT0002698706,Happy
MT0002698827,Relaxed
MT0002714805,Relaxed
MT0002760912,Sad
MT0002794078,Happy
MT0002811975,Relaxed
MT0002834532,Relaxed
MT0002846256,Relaxed
MT0002894033,Happy
MT0002915967,Sad
MT0002960683,Anger
MT0002986568,Sad
MT0003019852,Anger
MT0003022328,Relaxed
MT0003025046,Relaxed
MT0003037596,Sad
MT0003037754,Sad
MT0003044417,Happy
MT0003053135,Sad
MT0003101727,Sad
MT0003106472,Anger
MT0003114552,Sad
MT0003129858,Sad
MT0003136077,Anger
MT0003144898,Happy
MT0003170370,Happy
MT0003209662,Anger
MT0003213835,Happy
MT0003243311,Happy
MT0003248394,Happy
MT0003262589,Anger
MT0003272751,Happy
MT0003280103,Relaxed
MT0003286463,Happy
MT0003300388,Sad
MT0003311798,Anger
MT0003326925,Anger
MT0003349423,Anger
MT0003352308,Sad
MT0003362542,Sad
MT0003366948,Relaxed
MT0003390733,Happy
MT0003396470,Sad
MT0003402538,Sad
MT0003420996,Sad
MT0003435704,Sad
MT0003442366,Anger
MT0003454112,Relaxed
MT0003462877,Anger
MT0003501434,Sad
MT0003530174,Sad
MT0003542756,Sad
MT0003546058,Anger
MT0003570082,Happy
MT0003594672,Happy
MT0003601752,Sad
MT0003603772,Happy
MT0003639120,Anger
MT0003669917,Happy
MT0003710207,Relaxed
MT0003724610,Happy
MT0003778826,Relaxed
MT0003782002,Anger
MT0003787478,Anger
MT0003788939,Happy
MT0003794106,Happy
MT0003807077,Anger
MT0003863509,Sad
MT0003900455,Anger
MT0003903675,Happy
MT0003930610,Sad
MT0003935485,Sad
MT0003949060,Happy
MT0003956612,Relaxed
MT0003968586,Anger
MT0004027946,Anger
MT0004028719,Anger
MT0004032071,Happy
MT0004036096,Relaxed
MT0004037272,Happy
MT0004068560,Anger
MT0004082588,Sad
MT0004085907,Anger
MT0004089549,Relaxed
MT0004093767,Relaxed
MT0004122617,Happy
MT0004131058,Sad
MT0004141823,Happy
MT0004232099,Sad
MT0004263956,Sad
MT0004274911,Relaxed
MT0004287283,Sad
MT0004290389,Sad
MT0004293364,Anger
MT0004316859,Anger
MT0004331116,Relaxed
MT0004339430,Happy
MT0004342301,Sad
MT0004428604,Happy
MT0004447086,Anger
MT0004447226,Happy
MT0004459450,Anger
MT0004511265,Anger
MT0004537445,Relaxed
MT0004558461,Anger
MT0004584067,Relaxed
MT0004609722,Sad
MT0004645468,Anger
MT0004669603,Happy
MT0004683099,Happy
MT0004693207,Sad
MT0004711079,Happy
MT0004715422,Anger
MT0004751933,Happy
MT0004759106,Relaxed
MT0004759588,Anger
MT0004807446,Anger
MT0004817670,Sad
MT0004833310,Relaxed
MT0004840819,Sad
MT0004842694,Sad
MT0004850690,Relaxed
MT0004867185,Anger
MT0004867564,Relaxed
MT0004882280,Anger
MT0004896738,Happy
MT0004911454,Relaxed
MT0004922692,Sad
MT0004942017,Anger
MT0004956006,Anger
MT0004958762,Anger
MT0004978135,Sad
MT0004988249,Sad
MT0005001966,Sad
MT0005003824,Happy
MT0005026798,Anger
MT0005029328,Anger
MT0005039941,Anger
MT0005074629,Relaxed
MT0005083488,Happy
MT0005091539,Relaxed
MT0005115042,Sad
MT0005129157,Relaxed
MT0005155949,Sad
MT0005157391,Sad
MT0005163122,Happy
MT0005171805,Sad
MT0005202791,Anger
MT0005213723,Anger
MT0005217073,Sad
MT0005221680,Sad
MT0005239610,Happy
MT0005253065,Sad
MT0005261375,Relaxed
MT0005262725,Sad
MT0005265641,Happy
MT0005270263,Sad
MT0005285696,Relaxed
MT0005331755,Happy
MT0005387539,Anger
MT0005409948,Anger
MT0005469880,Happy
MT0005478759,Happy
MT0005515169,Anger
MT0005520274,Sad
MT0005523766,Happy
MT0005550288,Anger
MT0005550441,Relaxed
MT0005595173,Anger
MT0005606947,Anger
MT0005608787,Relaxed
MT0005625762,Happy
MT0005656534,Relaxed
MT0005673020,Anger
MT0005674518,Happy
MT0005695311,Relaxed
MT0005713768,Happy
MT0005737276,Happy
MT0005751512,Anger
MT0005752234,Happy
MT0005798527,Relaxed
MT0005832516,Happy
MT0005850999,Relaxed
MT0005884980,Relaxed
MT0005897799,Anger
MT0005951020,Anger
MT0005963165,Sad
MT0005981667,Sad
MT0005987148,Relaxed
MT0006001707,Anger
MT0006037085,Relaxed
MT0006096934,Happy
MT0006107326,Relaxed
MT0006117018,Relaxed
MT0006159067,Sad
MT0006164654,Relaxed
MT0006171393,Sad
MT0006254062,Relaxed
MT0006292011,Anger
MT0006315323,Happy
MT0006352493,Relaxed
MT0006367176,Happy
MT0006397809,Sad
MT0006400514,Sad
MT0006410285,Sad
MT0006484633,Anger
MT0006510599,Anger
MT0006520567,Anger
MT0006540794,Happy
MT0006552038,Anger
MT0006553914,Anger
MT0006555035,Sad
MT0006564487,Anger
MT0006640142,Anger
MT0006640857,Happy
MT0006672286,Sad
MT0006742179,Anger
MT0006746691,Anger
MT0006747288,Happy
MT0006764092,Anger
MT0006769480,Relaxed
MT0006798861,Anger
MT0006806145,Anger
MT0006810990,Anger
MT0006862088,Anger
MT0006903607,Anger
MT0006919273,Sad
MT0006919878,Anger
MT0006939177,Anger
MT0006955716,Relaxed
MT0006983241,Relaxed
MT0006996768,Happy
MT0007013069,Happy
MT0007039041,Relaxed
MT0007043504,Anger
MT0007043936,Sad
MT0007053424,Relaxed
MT0007057303,Happy
MT0007064420,Relaxed
MT0007067293,Happy
MT0007087238,Relaxed
MT0007099407,Sad
MT0007107079,Relaxed
MT0007119529,Relaxed
MT0007147603,Happy
MT0007186714,Relaxed
MT0007207968,Relaxed
MT0007232134,Relaxed
MT0007265208,Sad
MT0007338724,Sad
MT0007342701,Relaxed
MT0007349999,Sad
MT0007372035,Sad
MT0007379559,Anger
MT0007379700,Anger
MT0007410187,Sad
MT0007413949,Anger
MT0007438571,Sad
MT0007439502,Happy
MT0007443823,Happy
MT0007453719,Relaxed
MT0007477802,Sad
MT0007497706,Sad
MT0007535042,Anger
MT0007550652,Sad
MT0007556029,Relaxed
MT0007583962,Sad
MT0007610380,Sad
MT0007627521,Anger
MT0007652281,Sad
MT0007659703,Anger
MT0007697753,Anger
MT0007728545,Sad
MT0007766156,Relaxed
MT0007799677,Anger
MT0007812490,Anger
MT0007833171,Relaxed
MT0007840454,Happy
MT0007860263,Sad
MT0007914044,Sad
MT0007926918,Anger
MT0008007368,Sad
MT0008018703,Sad
MT0008077089,Sad
MT0008084656,Anger
MT0008137868,Anger
MT0008167476,Relaxed
MT0008170600,Sad
MT0008208983,Anger
MT0008222676,Happy
MT0008276791,Happy
MT0008340316,Happy
MT0008342962,Relaxed
MT0008346862,Anger
MT0008361425,Anger
MT0008363839,Happy
MT0008399774,Sad
MT0008401073,Happy
MT0008451831,Anger
MT0008455201,Anger
MT0008493270,Sad
MT0008511909,Anger
MT0008530072,Anger
MT0008570712,Anger
MT0008575372,Happy
MT0008596275,Anger
MT0008644609,Happy
MT0008665212,Relaxed
MT0008675527,Happy
MT0008684922,Happy
MT0008686594,Relaxed
MT0008716237,Sad
MT0008718991,Sad
MT0008733057,Anger
MT0008807220,Anger
MT0008841966,Sad
MT0008972801,Happy
MT0008979040,Sad
MT0008999898,Sad
MT0009010830,Happy
MT0009016829,Anger
MT0009041370,Anger
MT0009075362,Relaxed
