id,duration,tempo,spectral_centroid,zero_crossing_rate,chroma_feature,mfccs,rms,harmonicity
MT0000040632,30.06,98.6842105263158,2130.048753732923,0.0517422207623736,"[0.37803420424461365, 0.47094982862472534, 0.389473021030426, 0.4348222613334656, 0.3937527537345886, 0.35088637471199036, 0.4686879515647888, 0.4467739760875702, 0.5341201424598694, 0.4961948096752167, 0.40399622917175293, 0.45387881994247437]","[-129.1836700439453, 137.39402770996094, -12.760700225830078, 60.9488525390625, -16.260587692260742, 41.19377136230469, -11.463810920715332, 25.137451171875, -11.534335136413574, 7.174127578735352, -5.501969814300537, -5.458817958831787, -1.4585150480270386, -10.204416275024414, 8.599390983581543, -9.419147491455078, 3.9700872898101807, -9.387730598449707, 5.151860237121582, -6.7692341804504395]",0.20284992,-9.696589e-07
MT0000082187,30.06,133.92857142857142,2734.664831162855,0.10561245384845662,"[0.3672530949115753, 0.41852542757987976, 0.35342395305633545, 0.45453014969825745, 0.3262045085430145, 0.41501057147979736, 0.41758379340171814, 0.31417813897132874, 0.3555852770805359, 0.3581547737121582, 0.5026379823684692, 0.4486956000328064]","[-118.64934539794922, 129.01083374023438, -46.4764518737793, 64.18830108642578, -22.47791290283203, 32.68099594116211, -20.568395614624023, 17.69916534423828, -16.886611938476562, -1.108234167098999, -0.4967268407344818, -4.736112594604492, 4.382872581481934, -7.092400074005127, 1.899400234222412, -10.721614837646484, 11.967448234558105, -9.876856803894043, 0.9027191400527954, -0.7553390264511108]",0.12969244,-5.4197494e-07
MT0000249842,30.06,163.04347826086956,2779.9809266295642,0.07787605192256519,"[0.4194220304489136, 0.31571632623672485, 0.3827049434185028, 0.4411364197731018, 0.3244394063949585, 0.3599923253059387, 0.3449820280075073, 0.44895243644714355, 0.48947736620903015, 0.507713794708252, 0.6120308637619019, 0.512103259563446]","[-66.34733581542969, 124.38298034667969, -34.47401428222656, 56.18827819824219, -20.77080535888672, 40.902801513671875, -21.180452346801758, 29.43331527709961, -14.671079635620117, 9.230743408203125, -8.296513557434082, -1.9984393119812012, 1.666001319885254, -8.136648178100586, 6.006438255310059, -14.467363357543945, 6.804883003234863, -12.815230369567871, 6.162234306335449, -8.441774368286133]",0.27018967,3.0021736e-06
MT0000364027,30.06,120.96774193548387,1548.351607478674,0.04932913950239489,"[0.22656424343585968, 0.4209066927433014, 0.2984432280063629, 0.17120780050754547, 0.27128684520721436, 0.24254262447357178, 0.43314841389656067, 0.2904094457626343, 0.3455784022808075, 0.4872775971889496, 0.2841798961162567, 0.3623514175415039]","[-134.127197265625, 170.20457458496094, -25.26712417602539, 49.1317024230957, -16.896852493286133, 28.840309143066406, -14.994746208190918, 14.716570854187012, -4.168720245361328, 10.44998836517334, 3.4960203170776367, -2.7917520999908447, 3.7339680194854736, -3.369462013244629, 9.63845443725586, -3.0269923210144043, 10.715779304504395, -2.320950508117676, 2.5754177570343018, -2.485771656036377]",0.17318548,-2.591784e-07
MT0000392975,30.06,93.75,2101.5837326452115,0.07029223074108569,"[0.388813316822052, 0.3229912519454956, 0.4952084422111511, 0.33426037430763245, 0.2917105555534363, 0.3511899411678314, 0.38610294461250305, 0.5069760084152222, 0.36511462926864624, 0.37702351808547974, 0.3320164382457733, 0.314793199300766]","[-188.28530883789062, 148.6649627685547, -37.84865188598633, 38.1195182800293, -16.200984954833984, 25.086515426635742, -14.658406257629395, 6.410220623016357, -11.993146896362305, 1.583077311515808, -2.9076170921325684, -3.296985387802124, 3.0324177742004395, -4.207446098327637, 3.7571728229522705, -6.617355823516846, 3.2131738662719727, -6.672871112823486, 3.670736789703369, -3.820600748062134]",0.08976518,2.7880194e-06
MT0000414517,30.06,144.23076923076923,1941.1756718147556,0.04676819659725918,"[0.4934980869293213, 0.5648700594902039, 0.4248866140842438, 0.40206897258758545, 0.3403715193271637, 0.3170892298221588, 0.4443165957927704, 0.39279723167419434, 0.4403161406517029, 0.4390895366668701, 0.3986382782459259, 0.4366671144962311]","[-149.30076599121094, 137.01031494140625, -5.974102020263672, 52.428165435791016, -11.812724113464355, 32.17564010620117, -13.216848373413086, 14.631057739257812, -11.970104217529297, 3.887746572494507, -9.15186595916748, -3.0063323974609375, 2.7936813831329346, -4.318110466003418, 5.380281448364258, -11.691872596740723, 4.172904968261719, -7.283626556396484, 4.647046089172363, -5.269390106201172]",0.17474173,0.0005505446
MT0000442827,30.06,96.15384615384616,1057.4014605860818,0.032789424228312936,"[0.3883361518383026, 0.3556250333786011, 0.3241012990474701, 0.3063114583492279, 0.41809889674186707, 0.5035885572433472, 0.3904714286327362, 0.367997407913208, 0.3195461928844452, 0.32713067531585693, 0.3373856544494629, 0.35831087827682495]","[-316.37188720703125, 173.37478637695312, -10.835613250732422, 34.297733306884766, 11.60188102722168, -5.910613536834717, 18.764934539794922, -3.419992446899414, -5.636943340301514, 7.034919738769531, 0.6093584299087524, 1.2760820388793945, 4.947428226470947, -1.2016533613204956, -4.200643539428711, -0.9925557374954224, -0.8700463771820068, -0.09966058284044266, -0.15802529454231262, -2.593986988067627]",0.0708606,2.7600018e-07
MT0000540286,30.06,197.3684210526316,1344.6926550959085,0.06910310088477914,"[0.35886335372924805, 0.20306186378002167, 0.20906095206737518, 0.2991954982280731, 0.24742227792739868, 0.2326432764530182, 0.1705990433692932, 0.3234446942806244, 0.3926430642604828, 0.2138763964176178, 0.23111435770988464, 0.2166057974100113]","[-299.3437805175781, 171.730224609375, -39.229610443115234, -4.228532314300537, 22.31905174255371, -15.660950660705566, -13.66612720489502, -4.752295017242432, -3.44035005569458, -3.135795831680298, -5.188412189483643, -0.9605912566184998, -4.264003753662109, -8.261884689331055, -1.7562438249588013, 0.005420768167823553, -1.8205903768539429, -1.5574560165405273, -2.447878360748291, -1.4573490619659424]",0.08085627,-3.3516713e-07
MT0000664362,30.06,76.53061224489795,1280.4694203549334,0.022509012024348057,"[0.4370363652706146, 0.43831372261047363, 0.5184333920478821, 0.5371694564819336, 0.5209218263626099, 0.5845155119895935, 0.6291821599006653, 0.5527709722518921, 0.4805809557437897, 0.4697507917881012, 0.47395071387290955, 0.45097243785858154]","[-317.87762451171875, 131.6353759765625, 17.829030990600586, 51.471195220947266, 7.308661460876465, 27.64940643310547, 5.27638578414917, 15.918391227722168, 6.234895706176758, 7.383639812469482, 4.101285457611084, 3.5247180461883545, 5.492747783660889, 0.7997657060623169, 6.037963390350342, -0.7725151777267456, 5.136483669281006, -0.9304853677749634, 3.801896572113037, -0.4255896210670471]",0.07649968,2.2809768e-07
MT0000992846,30.096,76.53061224489795,2532.918834830193,0.09042854592853347,"[0.49629074335098267, 0.5441193580627441, 0.5694409012794495, 0.44443604350090027, 0.46649134159088135, 0.4118482172489166, 0.46453794836997986, 0.4066927134990692, 0.4571117162704468, 0.6485626101493835, 0.49724599719047546, 0.4808076322078705]","[-86.53366088867188, 134.26620483398438, -43.99518585205078, 58.62656784057617, -18.2149715423584, 30.7225399017334, -20.6053409576416, 26.254602432250977, -3.785618782043457, 7.888900279998779, 2.121184825897217, 2.502671003341675, 4.409220218658447, -6.156696319580078, 9.587042808532715, -7.076024532318115, 8.01728343963623, -8.039937973022461, 5.233844757080078, -6.614482402801514]",0.17565435,-2.2005184e-05
