id,duration,tempo,spectral_centroid,zero_crossing_rate,chroma_feature,mfccs,rms,harmonicity,transcription,valence_mean,valence_std,arousal_mean,arousal_std,emotion
2,45.0609977324263,139.6748310810811,1898.573650583892,0.0365212237570839,"[0.40816259384155273, 0.33845534920692444, 0.3098211884498596, 0.3795991837978363, 0.5534093379974365, 0.577131986618042, 0.46097642183303833, 0.47924885153770447, 0.5920526385307312, 0.6909357309341431, 0.5553817749023438, 0.44965746998786926]","[-200.25965881347656, 171.7724609375, -32.70789337158203, 36.403472900390625, 0.23602914810180664, 17.68330192565918, 1.3650383949279785, 9.277377128601074, 1.3709378242492676, -3.26423716545105, 6.485471725463867, 1.0802315473556519, -1.0312496423721313, 0.8854866623878479, 3.471088171005249, -0.7881110310554504, -7.975659370422363, 6.131814479827881, 2.6586568355560303, -1.9697092771530151]",0.105231434,-8.8045235e-06,Confronts and fronts to nature's plane Only a century before me tonight Face the way you've found your life And when the time slowly passes by Take a lover healthy and vain Leave yourself to make your wish Come true for you and me and us Now realize,3.1,0.94,3.0,0.63, Sad
3,45.03487528344671,95.703125,1049.6626233890904,0.0134805402487754,"[0.6668778657913208, 0.6146547794342041, 0.6175112724304199, 0.6766102313995361, 0.7512152791023254, 0.7173990607261658, 0.6490229368209839, 0.6410720348358154, 0.6572584509849548, 0.6738669872283936, 0.6353654861450195, 0.6712778806686401]","[-285.9258728027344, 159.13241577148438, 7.611592769622803, 33.75762939453125, 25.207599639892578, 20.010122299194336, 18.247241973876953, 21.9005184173584, 11.854700088500977, 10.960855484008789, 9.535072326660156, 7.900572776794434, 2.0728437900543213, -0.36864838004112244, 1.3854081630706787, 1.6001596450805664, 4.383493900299072, 3.636991262435913, 1.4082814455032349, -0.8249368667602539]",0.11619954,2.3912638e-05,,3.5,1.75,3.3,1.62,
4,45.03487528344671,84.72079918032787,1918.8335075128432,0.0373866845111497,"[0.4336817264556885, 0.3621821701526642, 0.3555971384048462, 0.3735193610191345, 0.5594024658203125, 0.4081794023513794, 0.31460490822792053, 0.4243447780609131, 0.5403751730918884, 0.7755429744720459, 0.5751600861549377, 0.4867905378341675]","[-163.7236328125, 166.29994201660156, -29.482479095458984, 36.67626190185547, 10.505820274353027, 39.914554595947266, -2.76729416847229, 7.671545028686523, -2.185290813446045, 2.389334201812744, -0.6679491400718689, 0.5832632184028625, 0.22867371141910553, 4.678016662597656, 0.7747694253921509, -3.4272589683532715, -1.205622911453247, -1.2566816806793213, 4.708500862121582, -1.7279493808746338]",0.18490417,1.2453788e-05,,5.7,1.42,5.5,1.63,
5,45.03487528344671,123.046875,1900.762699791128,0.0362571800882959,"[0.4125290513038635, 0.40957579016685486, 0.389926552772522, 0.47011545300483704, 0.3902742862701416, 0.36073359847068787, 0.4670927822589874, 0.2678106725215912, 0.22621767222881317, 0.22248782217502594, 0.4148324429988861, 0.5519247651100159]","[-190.34071350097656, 162.4349365234375, -10.739156723022461, 38.93666076660156, -6.951844215393066, 10.32254695892334, -25.887615203857422, 6.755102634429932, -14.676107406616211, -6.157724380493164, -7.251636505126953, -13.480974197387695, -1.854753851890564, -10.276968002319336, -7.605245113372803, -10.335315704345703, -6.609231948852539, -15.145736694335938, -8.61313247680664, -13.370957374572754]",0.14974837,-9.123723e-07,"I ought to leave my mane I ought to leave my mane Instead I sleep heavy on his bed When I, he ought to leave my mane Hold my heart and hold my waist The whole night through Hold my heart and hold my head Until the day is new",4.4,2.01,5.3,1.85, Relaxed
7,45.0609977324263,120.18531976744184,1268.6466685488642,0.0129061212004121,"[0.5245635509490967, 0.48823004961013794, 0.5406340956687927, 0.5827769041061401, 0.617762565612793, 0.5922577381134033, 0.5398684740066528, 0.5391749739646912, 0.5348803997039795, 0.5326587557792664, 0.5551931858062744, 0.5884383916854858]","[-208.9108428955078, 156.98822021484375, -2.480257272720337, 62.61085510253906, 13.259384155273438, 27.920299530029297, 20.397186279296875, 12.311847686767578, 10.173441886901855, 2.516611337661743, 0.8950961232185364, -1.2963917255401611, 3.176501750946045, 1.683293342590332, 3.0556907653808594, 3.22884464263916, 1.1253201961517334, 1.9478847980499268, 0.569628894329071, -0.6438765525817871]",0.2671474,-3.2684027e-05,,5.8,1.47,6.4,1.69,
8,45.0609977324263,82.03125,1506.833731110861,0.0238450299459041,"[0.5298895835876465, 0.4671769142150879, 0.5051243305206299, 0.5928156971931458, 0.7207123041152954, 0.624006450176239, 0.4026409387588501, 0.39094555377960205, 0.4020385146141052, 0.4514877200126648, 0.5383394360542297, 0.5789289474487305]","[-329.05523681640625, 141.72120666503906, 70.06702423095703, 59.84242248535156, 8.510516166687012, 20.745559692382812, 6.610006809234619, 9.31954574584961, -2.4448459148406982, 4.990582466125488, -2.047222137451172, 2.9050965309143066, 1.604143738746643, -1.1459252834320068, -0.38663744926452637, -3.1811234951019287, 1.3578554391860962, -1.2263340950012207, 3.1603147983551025, 1.0319072008132935]",0.122685224,1.6521615e-05,Thank you.,3.2,1.4,4.8,1.54,
10,45.0609977324263,93.9630681818182,1789.487937602101,0.0416096879427485,"[0.3546544313430786, 0.35751548409461975, 0.39143437147140503, 0.31864434480667114, 0.34222811460494995, 0.274899423122406, 0.2933559715747833, 0.2982056736946106, 0.29026421904563904, 0.42269864678382874, 0.33635231852531433, 0.2956862449645996]","[-307.8232116699219, 154.6322479248047, 13.866462707519531, 18.282852172851562, 10.566731452941895, 24.911075592041016, -4.422948360443115, 5.5304365158081055, 5.469172477722168, 7.658882141113281, 0.7959319353103638, -1.123196005821228, -0.9755645394325256, 2.688966751098633, 0.07401108741760254, -5.216550350189209, -3.8745310306549072, -2.5850114822387695, 1.8127048015594482, -3.8276073932647705]",0.06626816,-4.008897e-07,,4.0,1.67,4.7,1.85,
12,45.0609977324263,93.9630681818182,2459.942667852904,0.0464236983191653,"[0.5983060002326965, 0.522547721862793, 0.5148285627365112, 0.5104562640190125, 0.4800589382648468, 0.5225970149040222, 0.47627225518226624, 0.4680955410003662, 0.4066663384437561, 0.41891321539878845, 0.4474214017391205, 0.5045857429504395]","[-150.44403076171875, 142.37632751464844, -6.4823126792907715, 58.1989631652832, -2.8351359367370605, 28.380905151367188, -5.764143466949463, 7.714687347412109, -4.244029521942139, 4.619085311889648, -5.1991119384765625, -1.778394103050232, -3.393063545227051, -2.5261545181274414, -4.7315521240234375, -7.564237594604492, -1.556097149848938, -5.931889057159424, 2.133476734161377, -7.9714436531066895]",0.22828828,-3.2645814e-06,,5.5,1.91,5.8,1.89,
13,45.0609977324263,87.5926906779661,1930.151167802908,0.031152645624034,"[0.5929349064826965, 0.4775846004486084, 0.4651907980442047, 0.4369697570800781, 0.32692089676856995, 0.34905678033828735, 0.31007206439971924, 0.3701693117618561, 0.3483973443508148, 0.3591376841068268, 0.4479828178882599, 0.5060345530509949]","[-236.67953491210938, 150.42674255371094, -1.8457669019699097, 43.58780288696289, 7.412664890289307, 19.74890899658203, -12.661553382873535, 17.679033279418945, -6.406674861907959, 1.1665741205215454, -4.7252583503723145, -3.9522132873535156, -4.434927463531494, -9.905152320861816, -3.4838497638702393, -8.505035400390625, 0.996627688407898, -7.862473011016846, -3.00498366355896, -7.224512577056885]",0.13243726,-8.280192e-07,"Now what do I do? He gets restless after just a minute or two He says he has to go fix a record or polish his boots And I live lonely, pull up on my roots He plays his guitar",3.2,1.4,4.0,1.67,
17,45.0609977324263,107.666015625,2128.761434291608,0.0393939325331658,"[0.4333224892616272, 0.4330677390098572, 0.4752127230167389, 0.39353498816490173, 0.37588658928871155, 0.44662976264953613, 0.4934190511703491, 0.5956400036811829, 0.509194552898407, 0.481113076210022, 0.46660810708999634, 0.41597047448158264]","[-139.41757202148438, 159.59396362304688, -30.774166107177734, 48.520198822021484, 0.11704763025045395, 17.868656158447266, -0.20344699919223785, 14.235966682434082, -1.2273269891738892, 5.821571350097656, -6.479677677154541, -4.115388870239258, -4.39804220199585, -2.8008296489715576, 1.892539381980896, -0.2411148101091385, 0.5907586216926575, -1.8739122152328491, -0.1564606875181198, -6.79040002822876]",0.21050769,-0.00013541938,"Hey, hey I've got my eyes on the walking man I've got my eyes on the walking man",4.4,1.8,6.0,2.05,
