id,transcription
2,Confronts and fronts to nature's plane Only a century before me tonight Face the way you've found your life And when the time slowly passes by Take a lover healthy and vain Leave yourself to make your wish Come true for you and me and us Now realize
3,
4,
5,"I ought to leave my mane I ought to leave my mane Instead I sleep heavy on his bed When I, he ought to leave my mane Hold my heart and hold my waist The whole night through Hold my heart and hold my head Until the day is new"
7,
8,Thank you.
10,
12,
13,"Now what do I do? He gets restless after just a minute or two He says he has to go fix a record or polish his boots And I live lonely, pull up on my roots He plays his guitar"
17,"Hey, hey I've got my eyes on the walking man I've got my eyes on the walking man"
18,"You're left forsaken, all the love you've taken Sleeping on the razor, so well left to fall Your body's aching, every bone is breaking Nothing seems to shake it, just keeps holding on Your soul is able, death is all you can do"
19,But the dusty land we'll never be found We'll never be found I'll find a stand We'll show them all How they can fall To the ground We'll show them all
20,
21,
22,"Thank you. This next time, make no demands. On this stage, on the stage you stand. Willing to leave a plea demands of my love."
24,The blues Oh yeah Oh yeah Oh yeah Oh yeah Well my bank account is empty My bank is beating sore When I become a rich man I ain't working no more I ain't working no more
25,. . . . . . . . . . . . . . . . . . . . . . . . . . .
31,Saturday sunrise my wife sitting up in the bed Sunday sunset my wife sitting up in the bed
32,Has fallen lovely All we own once Friendsly and comely Better than to make dandy Over time our only candy Once upon a seaside shanty
35,
37,Oh Earth! Sth-f Jennifer.... Ah-haah! experiments yk tightր I don't love it. I'm on a ass. All right. I am. Again.
39,"Ramblin' Rose, I'm gonna put you down! Ramblin' Rose, Ramblin' Rose, come on! Yeah! Ramblin' Rose, I'm gonna put you down! Diamond rings and a diamond job!"
40,"Seem like maybe half the people we know got the same sad stories to tell. We're holding on. Yes, we're holding on. Oh, but you and me, baby, we don't have to die. No, we can get it on like it's Saturday night."
41,
42,"Did you think that I'd forgotten? Smell you all the night I'm feeling On your porch I'm barely frightened Cinematic influence, yes In our lifetimes neatly dressed"
43,you Hey
44,Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa Nyaa
45,Slementings are at the topz cafe.
46,"With his last dying last words, he just looked up and he said, Wolf, he said, I'm going to go now, but I'm going to implant this knowledge and I want you to tell all the people in New York about this girl. Because it just rolled around the corners, bigger than the blob. Yeah, larger than any kind of thing coming from any planet. It was called, he said, he said, tell him this. And I'm telling you in my own way, in my own, my own."
47,
48,Thank you. Celestial demons fully unrest. The likely color lie.
49,"A stand for the lamb. A funeral dirge we're quelling fast. You and I will all despise and sinking through. Heavens, heighten our climb. Heighten our climb. Racing a stereotype. It's a logical deathmatch. Thunder..."
50,you Thank you.
51,
52,"Give our voices renewed power Lighted magic, lost and tragic stories Backgrounds dignified every time we sing Of speech and song we recognize In our divine Recognizing in our divine Recognizing in our divine Recognizing in our divine"
53,
54,"See, I was burning And you cooled me And your loving nature Fooled me I was lost You said goodbye No tears in your eye I was broken"
55,"You know it hurts me so. Babe, I'm way down here. You know I'm way down here. Babe, I'm way down here in a rolling fog. Baby, please don't go. Baby, please don't go. Baby, please don't go."
56,
58,"I ride my pleasure circuit smoking all the time Now nothing's any fun anymore I lied when I told you everything was just fine Nothing's any fun anymore Nothing you can do, nothing you can say Ain't easy doing nothing, gotta do it anyway Nothing you can say, nothing you can do Nothing else that I can say to you"
59,And why divine us a burnt crown? Why divine us a burnt crown?
60,Музика Музика
62,"My baby, she got eyes like rocks. Making me dream of Christmas Eve. Falling down, beating and loving it. Making me think she smells like a baleen."
64,"New fashion has sold neatly, for rich paths into all new healings, into all new healing. Feel the touch of the hands of time, wind in love with the nights of the life. Flockings of the carcass we leave, fendings of the spirits nightly. The crimson wishes of Mason Chloe, undressed of the glowing world. Alien and unprofound, in cathedrals we all be."
65,Explosion. semi-auto music
67,"Come on! Ah! Get the cat in the bag, get the pajama off her. Get close, got it, gonna hit the soles. He thought without a end today, come on, woman, this is a big spade. Let her rip!"
68,
69,Sister Long You Keep on worrying Sister Long You Keep on worrying Sister Long You Keep on worrying His work is almost done Trimmed and burning Keep your lamp Trimmed and burning Keep your lamp Keep your lamp Trimmed and burning His work is almost done
70,"Those said they were just devotees. Goodbye to my one. Goodbye, Joselito. Adios, mis amigos. Jesus y Maria. You won't have your name when you ride the big elephant. All they will call you will be devotees."
